Title,Year,Rating,Link
"The Good, the Bad and the Ugly",1966,97%,https://www.rottentomatoes.com/m/the_good_the_bad_and_the_ugly
Harry Potter and the Deathly Hallows: Part 2,2011,96%,https://www.rottentomatoes.com/m/harry_potter_and_the_deathly_hallows_part_2
The Silence of the Lambs,1991,95%,https://www.rottentomatoes.com/m/silence_of_the_lambs
Fanny and Alexander,1982,100%,https://www.rottentomatoes.com/m/fanny_and_alexander
Laura,1944,100%,https://www.rottentomatoes.com/m/1012007-laura
The Shop Around the Corner,1940,99%,https://www.rottentomatoes.com/m/shop_around_the_corner
His Girl Friday,1940,99%,https://www.rottentomatoes.com/m/his_girl_friday
All Quiet on the Western Front,1930,98%,https://www.rottentomatoes.com/m/all_quiet_on_the_western_front
"Monsters, Inc.",2001,96%,https://www.rottentomatoes.com/m/monsters_inc
Nights of Cabiria,1957,100%,https://www.rottentomatoes.com/m/nights_of_cabiria
Pather Panchali,1955,98%,https://www.rottentomatoes.com/m/pather_panchali
Meet Me in St. Louis,1944,100%,https://www.rottentomatoes.com/m/meet_me_in_st_louis
Witness for the Prosecution,1957,100%,https://www.rottentomatoes.com/m/witness_for_the_prosecution
Eighth Grade,2018,99%,https://www.rottentomatoes.com/m/eighth_grade
Rebecca,1940,98%,https://www.rottentomatoes.com/m/1017293-rebecca
Stalker,1979,100%,https://www.rottentomatoes.com/m/1043378-stalker
The Terminator,1984,100%,https://www.rottentomatoes.com/m/terminator
Memento,2000,94%,https://www.rottentomatoes.com/m/memento
The Social Network,2010,96%,https://www.rottentomatoes.com/m/the-social-network
The Hurt Locker,2008,96%,https://www.rottentomatoes.com/m/the_hurt_locker
12 Years a Slave,2013,95%,https://www.rottentomatoes.com/m/12_years_a_slave
Catch Me if You Can,2002,96%,https://www.rottentomatoes.com/m/catch_me_if_you_can
Jaws,1975,97%,https://www.rottentomatoes.com/m/jaws
A Man Escaped,1956,100%,https://www.rottentomatoes.com/m/a_man_escaped
Pan's Labyrinth,2006,95%,https://www.rottentomatoes.com/m/pans_labyrinth
The Red Shoes,1948,98%,https://www.rottentomatoes.com/m/1017346-red_shoes
Anatomy of a Murder,1959,100%,https://www.rottentomatoes.com/m/anatomy-of-a-murder
Das Boot,1981,98%,https://www.rottentomatoes.com/m/das_boot
Ikiru,1952,98%,https://www.rottentomatoes.com/m/ikiru
Open City,1945,100%,https://www.rottentomatoes.com/m/open_city
Lady Bird,2017,99%,https://www.rottentomatoes.com/m/lady_bird
Hunt for the Wilderpeople,2016,97%,https://www.rottentomatoes.com/m/hunt_for_the_wilderpeople
Hell or High Water,2016,97%,https://www.rottentomatoes.com/m/hell_or_high_water
Army of Shadows,1969,97%,https://www.rottentomatoes.com/m/army_of_shadows
007: Goldfinger,1964,99%,https://www.rottentomatoes.com/m/goldfinger
The Lady Eve,1941,99%,https://www.rottentomatoes.com/m/lady_eve
Saving Private Ryan,1998,94%,https://www.rottentomatoes.com/m/saving_private_ryan
Ratatouille,2007,96%,https://www.rottentomatoes.com/m/ratatouille
Star Trek,2009,94%,https://www.rottentomatoes.com/m/star_trek_11
The Iron Giant,1999,96%,https://www.rottentomatoes.com/m/iron_giant
Monty Python and the Holy Grail Sing-Along,1975,96%,https://www.rottentomatoes.com/m/monty_python_and_the_holy_grail
Star Wars: Episode IV - A New Hope,1977,93%,https://www.rottentomatoes.com/m/star_wars_episode_iv_a_new_hope
Shadow of a Doubt,1943,100%,https://www.rottentomatoes.com/m/1018688-shadow_of_a_doubt
WALL-E,2008,95%,https://www.rottentomatoes.com/m/wall_e
Brooklyn,2015,97%,https://www.rottentomatoes.com/m/brooklyn
Mr. Smith Goes to Washington,1939,97%,https://www.rottentomatoes.com/m/mr_smith_goes_to_washington
Spider-Man: No Way Home,2021,93%,https://www.rottentomatoes.com/m/spider_man_no_way_home
The Best Years of Our Lives,1946,98%,https://www.rottentomatoes.com/m/best_years_of_our_lives
The Bridge on the River Kwai,1957,96%,https://www.rottentomatoes.com/m/bridge_on_the_river_kwai
Ali: Fear Eats the Soul,1974,100%,https://www.rottentomatoes.com/m/fear_of_fear
Whiplash,2014,94%,https://www.rottentomatoes.com/m/whiplash_2014
The Farewell,2019,97%,https://www.rottentomatoes.com/m/the_farewell_2019
Unforgiven,1992,96%,https://www.rottentomatoes.com/m/1041911-unforgiven
The Adventures of Robin Hood,1938,100%,https://www.rottentomatoes.com/m/1000355-adventures_of_robin_hood
Pulp Fiction,1994,92%,https://www.rottentomatoes.com/m/pulp_fiction
The King's Speech,2010,94%,https://www.rottentomatoes.com/m/the_kings_speech
Leave No Trace,2018,100%,https://www.rottentomatoes.com/m/leave_no_trace
Star Wars: Episode V - The Empire Strikes Back,1980,95%,https://www.rottentomatoes.com/m/star_wars_episode_v_the_empire_strikes_back
The Passion of Joan of Arc,1928,98%,https://www.rottentomatoes.com/m/passion_of_joan_of_arc
Quiz Show,1994,97%,https://www.rottentomatoes.com/m/quiz_show
Avengers: Endgame,2019,94%,https://www.rottentomatoes.com/m/avengers_endgame
Ran,1985,96%,https://www.rottentomatoes.com/m/ran
Safety Last,1923,97%,https://www.rottentomatoes.com/m/safety_last
Iron Man,2008,94%,https://www.rottentomatoes.com/m/iron_man
Moana,2016,95%,https://www.rottentomatoes.com/m/moana_2016
Little Women,2019,95%,https://www.rottentomatoes.com/m/little_women_2019
Puss in Boots: The Last Wish,2022,95%,https://www.rottentomatoes.com/m/puss_in_boots_the_last_wish
Casino Royale,2006,94%,https://www.rottentomatoes.com/m/casino_royale
The Handmaiden,2016,96%,https://www.rottentomatoes.com/m/the_handmaiden
La Haine,1995,96%,https://www.rottentomatoes.com/m/la_haine
La Strada,1954,98%,https://www.rottentomatoes.com/m/la_strada
Rashomon,1950,98%,https://www.rottentomatoes.com/m/rashomon
Top Hat,1935,100%,https://www.rottentomatoes.com/m/top_hat
The Artist,2011,95%,https://www.rottentomatoes.com/m/the_artist
The Conformist,1970,98%,https://www.rottentomatoes.com/m/the_conformist
One Flew Over the Cuckoo's Nest,1975,93%,https://www.rottentomatoes.com/m/one_flew_over_the_cuckoos_nest
In the Heat of the Night,1967,95%,https://www.rottentomatoes.com/m/in_the_heat_of_the_night
Raiders of the Lost Ark,1981,93%,https://www.rottentomatoes.com/m/raiders_of_the_lost_ark
The Peanut Butter Falcon,2019,95%,https://www.rottentomatoes.com/m/the_peanut_butter_falcon
Paths of Glory,1957,96%,https://www.rottentomatoes.com/m/paths_of_glory
King Kong,1933,97%,https://www.rottentomatoes.com/m/1011615-king_kong
Children of Paradise,1945,98%,https://www.rottentomatoes.com/m/children_of_paradise
A Beautiful Day in the Neighborhood,2019,95%,https://www.rottentomatoes.com/m/a_beautiful_day_in_the_neighborhood
The LEGO Movie,2014,96%,https://www.rottentomatoes.com/m/the_lego_movie
Before Sunset,2004,94%,https://www.rottentomatoes.com/m/before_sunset
Soul,2020,95%,https://www.rottentomatoes.com/m/soul
Creed,2015,95%,https://www.rottentomatoes.com/m/creed_2015
John Wick: Chapter 4,2023,94%,https://www.rottentomatoes.com/m/john_wick_chapter_4
The Princess Bride,1987,96%,https://www.rottentomatoes.com/m/princess_bride
Sunrise,1927,98%,https://www.rottentomatoes.com/m/sunrise
Before Midnight,2013,98%,https://www.rottentomatoes.com/m/before_midnight_2013
Lawrence of Arabia,1962,93%,https://www.rottentomatoes.com/m/lawrence_of_arabia
